School Name,State,Region,College_Type,Tuition_In,Tuition_Out,Cost of Attendance (Academic),Highest Degree Awarded,Mean Earnings,10th Percentile Earnings,25th Percentile Earnings,Median Earnings,75th Percentile Earnings,90th Percentile Earnings
Alabama A & M University,AL,Southeast,Public,9857.0,18236.0,22886.0,Business Marketing,35500,6700,17800,31000,46000,70000
University of Alabama at Birmingham,AL,Southeast,Public,8328.0,19032.0,24129.0,Health,48400,10900,26300,41200,59900,84000
Amridge University,AL,Southeast,Private,6900.0,6900.0,15080.0,Business Marketing,47600,6800,25200,39600,60300,79500
University of Alabama in Huntsville,AL,Southeast,Public,10280.0,21480.0,22108.0,Engineering,52000,12900,28300,46700,73100,93300
Alabama State University,AL,Southeast,Public,11068.0,19396.0,19413.0,Health,30600,7100,15600,27700,41500,55400
The University of Alabama,AL,Southeast,Public,10780.0,28100.0,28836.0,Business Marketing,51600,13100,29000,44500,66100,85000
Central Alabama Community College,AL,Southeast,Public,4440.0,8010.0,10045.0,Humanities,32400,7000,16100,27700,43500,58800
Auburn University at Montgomery,AL,Southeast,Public,8020.0,17140.0,19892.0,Health,38000,9500,20500,33300,48500,66300
Auburn University,AL,Southeast,Public,10968.0,29640.0,30458.0,Business Marketing,56300,13800,32700,48800,72700,91400
Birmingham Southern College,AL,Southeast,Private,35804.0,35804.0,50400.0,Business Marketing,53100,9800,26900,46700,68700,77600
Chattahoochee Valley Community College,AL,Southeast,Public,4314.0,7884.0,6854.0,Humanities,31300,5500,16600,28900,41800,58700
Concordia College Alabama,AL,Southeast,Private,10320.0,10320.0,27620.0,Humanities,25400,5400,13400,20600,34400,44500
South University-Montgomery,AL,Southeast,Private,17014.0,17014.0,26613.0,Health,40200,7100,17600,33400,54000,67200
Enterprise State Community College,AL,Southeast,Public,4440.0,8010.0,9289.0,Mechanic,42700,5700,16900,31800,60400,58700
Coastal Alabama Community College,AL,Southeast,Public,4380.0,7890.0,12558.0,Humanities,33900,5100,15700,29100,45200,59500
Faulkner University,AL,Southeast,Private,20970.0,20970.0,31720.0,Business Marketing,40700,9800,21300,35400,53400,80700
Gadsden State Community College,AL,Southeast,Public,3600.0,6456.0,9701.0,Mechanic,30200,5600,14100,26700,41500,58300
George C Wallace Community College-Dothan,AL,Southeast,Public,4380.0,7950.0,9298.0,Health,29800,7100,14200,24700,40400,64200
George C Wallace State Community College-Hanceville,AL,Southeast,Public,3726.0,6582.0,11408.0,Health,34800,4900,17000,32200,47600,57100
George C Wallace State Community College-Selma,AL,Southeast,Public,4140.0,7710.0,14571.0,Humanities,27300,6100,13300,23300,36600,57100
Herzing University-Birmingham,AL,Southeast,Private,13850.0,13850.0,27797.0,Health,41600,12300,22900,37800,54700,77200
Huntingdon College,AL,Southeast,Private,26400.0,26400.0,34675.0,Business Marketing,43600,9100,25900,39900,54500,73200
J. F. Drake State Community and Technical College,AL,Southeast,Public,4410.0,7980.0,11514.0,Engineering Technology,27600,7000,12600,23800,37100,49500
Jacksonville State University,AL,Southeast,Public,8166.0,15582.0,20890.0,Health,38100,9000,21000,35800,48600,64200
Jefferson Davis Community College,AL,Southeast,Public,4088.0,7598.0,11677.0,Humanities,30900,6500,13400,26200,41900,58600
Jefferson State Community College,AL,Southeast,Public,4500.0,8070.0,13017.0,Health,33800,8000,16300,30600,46100,61200
John C Calhoun State Community College,AL,Southeast,Public,4520.0,8090.0,9907.0,Humanities,32200,6000,14700,28000,44100,62800
Judson College,AL,Southeast,Private,17896.0,17896.0,30306.0,Health,29300,9300,13600,26100,39500,57100
Lawson State Community College,AL,Southeast,Public,4440.0,8010.0,13685.0,Humanities,26600,6100,12300,23400,36500,51500
University of West Alabama,AL,Southeast,Public,9204.0,16818.0,19671.0,Business Marketing,40400,8500,22900,37400,52100,63700
Lurleen B Wallace Community College,AL,Southeast,Public,4440.0,8010.0,13663.0,Humanities,32000,7900,15500,26500,40700,60100
Miles College,AL,Southeast,Private,11794.0,11794.0,22346.0,Business Marketing,29500,6400,15300,26500,39700,51200
University of Mobile,AL,Southeast,Private,22210.0,22210.0,35256.0,Business Marketing,38700,9600,22300,35200,50800,73400
University of Montevallo,AL,Southeast,Public,12400.0,25030.0,23938.0,Visual Performing,36100,9900,20400,34200,46800,62300
Northwest-Shoals Community College,AL,Southeast,Public,4411.0,7921.0,11386.0,Humanities,30800,5900,13600,25600,42600,59300
University of North Alabama,AL,Southeast,Public,8480.0,15128.0,18223.0,Business Marketing,42800,9800,23400,37800,54400,68400
Northeast Alabama Community College,AL,Southeast,Public,4440.0,8010.0,8350.0,Humanities,31700,5300,15000,27900,43000,58100
Oakwood University,AL,Southeast,Private,16720.0,16720.0,35577.0,Health,37400,7900,15500,29700,51100,75600
Alabama Southern Community College,AL,Southeast,Public,4380.0,7890.0,11265.0,Humanities,31400,4400,14500,25500,40600,55300
Reid State Technical College,AL,Southeast,Public,4500.0,8070.0,8804.0,Health,26800,5200,12500,22000,36300,45700
Bishop State Community College,AL,Southeast,Public,4440.0,8010.0,10349.0,Transportation,28300,5900,13600,22800,38300,54300
Samford University,AL,Southeast,Private,30490.0,30490.0,44896.0,Health,59800,12600,31700,49900,75500,124000
Shelton State Community College,AL,Southeast,Public,4189.0,7759.0,11414.0,Humanities,31100,4800,15000,27100,41300,55800
Snead State Community College,AL,Southeast,Public,4500.0,8070.0,10704.0,Humanities,30700,5500,14800,27800,42000,52700
University of South Alabama,AL,Southeast,Public,7812.0,15324.0,18857.0,Health,46800,10500,22200,37800,57000,78800
Spring Hill College,AL,Southeast,Private,37584.0,37584.0,50787.0,Business Marketing,51300,15500,27400,45100,63100,84300
Stillman College,AL,Southeast,Private,10792.0,10792.0,20205.0,Biological,33700,5100,16000,28200,41500,51500
Talladega College,AL,Southeast,Private,12340.0,12340.0,22314.0,Business Marketing,23900,4300,12200,21900,32000,53300
H Councill Trenholm State Community College,AL,Southeast,Public,4350.0,7920.0,11798.0,Health,28000,5200,13900,23100,37100,49200
Troy University,AL,Southeast,Public,8692.0,16276.0,18585.0,Business Marketing,41100,9700,22400,37000,52900,70800
Tuskegee University,AL,Southeast,Private,22170.0,22170.0,36673.0,Engineering,42200,9200,20200,35500,58800,81200
Bevill State Community College,AL,Southeast,Public,4766.0,8574.0,13164.0,Health,31300,6100,14900,28100,43300,57300
University of Alaska Anchorage,AK,Far West,Public,6690.0,19494.0,19126.0,Health,51200,7600,24300,45400,68300,84200
University of Alaska Fairbanks,AK,Far West,Public,6262.0,19183.0,17168.0,Health,45100,6600,19900,38700,59000,81500
University of Alaska Southeast,AK,Far West,Public,6828.0,19533.0,19176.0,Health,39500,9000,19500,36000,55200,74300
Alaska Pacific University,AK,Far West,Private,20760.0,20760.0,32489.0,Humanities,45300,10800,23900,40200,60500,85000
Charter College,WA,Far West,Private,21908.0,21908.0,35332.0,Health,46400,6900,23200,39800,61100,86700
Arizona State University-Tempe,AZ,Southwest,Public,10792.0,27372.0,24353.0,Business Marketing,55500,12900,31400,47700,71200,93300
Arizona Western College,AZ,Southwest,Public,2660.0,9650.0,14774.0,Humanities,32000,5800,15400,27700,41700,57600
University of Arizona,AZ,Southwest,Public,11877.0,35307.0,26080.0,Business Marketing,56000,12100,30600,47300,71700,99400
Southwest University of Visual Arts-Tucson,AZ,Southwest,Private,23044.0,23044.0,31146.0,Visual Performing,32600,5800,15300,30200,44900,54100
Central Arizona College,AZ,Southwest,Public,2580.0,11100.0,10643.0,Humanities,31500,5300,14500,26500,42300,59800
Cochise County Community College District,AZ,Southwest,Public,1968.0,6240.0,10987.0,Military,34300,7300,16000,28500,45700,74600
Eastern Arizona College,AZ,Southwest,Public,2550.0,11250.0,13128.0,Mechanic,35700,5000,15400,29200,51500,67500
Embry-Riddle Aeronautical University-Prescott,AZ,Southwest,Private,34662.0,34662.0,49912.0,Engineering,70300,22400,40500,66200,91100,115500
Glendale Community College,AZ,Southwest,Public,2094.0,7878.0,11472.0,Humanities,38300,6900,19600,34500,50700,69300
Grand Canyon University,AZ,Southwest,Private,17050.0,17050.0,31051.0,Health,58500,11100,31800,52700,79200,96100
GateWay Community College,AZ,Southwest,Public,2094.0,7878.0,12967.0,Health,39000,5600,17600,34100,54000,71800
Mesa Community College,AZ,Southwest,Public,2094.0,7878.0,12302.0,Humanities,41500,6900,19900,36000,55100,77700
Mohave Community College,AZ,Southwest,Public,2112.0,6972.0,12394.0,Health,32900,4800,13300,27500,45200,62300
Dine College,AZ,Southwest,Public,1410.0,1410.0,11187.0,Health,23400,3500,9600,21000,33400,45700
Northern Arizona University,AZ,Southwest,Public,11059.0,24841.0,26314.0,Business Marketing,44600,10300,25700,40100,57600,77800
Northland Pioneer College,AZ,Southwest,Public,1808.0,8360.0,13336.0,Precision Production,31300,3700,12900,25200,40200,54700
Phoenix College,AZ,Southwest,Public,2094.0,7878.0,11788.0,Humanities,36000,6300,18000,31900,46700,65400
Pima Community College,AZ,Southwest,Public,2118.0,7434.0,8821.0,Humanities,35000,6300,17300,30900,46000,66100
Prescott College,AZ,Southwest,Private,30501.0,30501.0,38882.0,Natural Resources,34300,7100,16700,33200,44800,63500
Rio Salado College,AZ,Southwest,Public,2094.0,7878.0,10784.0,Security law,43400,5600,21400,39500,60000,75000
Scottsdale Community College,AZ,Southwest,Public,2094.0,7878.0,11892.0,Humanities,42500,6500,18200,35600,56600,80000
South Mountain Community College,AZ,Southwest,Public,2094.0,7878.0,11292.0,Humanities,33400,5300,17100,30200,42800,54300
Western International University,AZ,Southwest,Private,6000.0,6000.0,11330.0,Business Marketing,42500,15300,18100,35000,56000,99600
Yavapai College,AZ,Southwest,Public,2280.0,8976.0,11524.0,Humanities,34000,5700,15400,28800,46100,67000
University of Arkansas at Little Rock,AR,Southeast,Public,8998.0,21208.0,21377.0,Health,39500,9400,20200,34900,52100,70000
Lyon College,AR,Southeast,Private,27340.0,27340.0,36824.0,Pyschology,44800,12600,24200,38600,56100,71300
University of Arkansas,AR,Southeast,Public,9062.0,24308.0,22122.0,Business Marketing,52700,13000,28700,44900,67000,87200
University of Arkansas at Pine Bluff,AR,Southeast,Public,7408.0,13738.0,16264.0,Biological,30600,6700,15400,27200,40500,58000
Arkansas State University-Main Campus,AR,Southeast,Public,8478.0,14778.0,20952.0,Humanities,36600,7600,18600,32200,46900,67100
Arkansas Tech University,AR,Southeast,Public,7104.0,12528.0,18143.0,Health,38600,8800,20400,34100,49200,69600
University of Arkansas at Monticello,AR,Southeast,Public,7462.0,13312.0,17690.0,Humanities,35800,8800,18400,31500,47800,68500
Baptist Health College Little Rock,AR,Southeast,Private,9867.0,9867.0,21677.0,Health,48100,8300,31700,47200,64000,73300
Black River Technical College,AR,Southeast,Public,3120.0,5448.0,12519.0,Health,29100,5100,14700,26100,39800,55100
University of Central Arkansas,AR,Southeast,Public,8524.0,15047.0,20702.0,Business Marketing,42500,9900,22900,38300,54100,73600
Central Baptist College,AR,Southeast,Private,15750.0,15750.0,24453.0,Business Marketing,43000,10300,20800,35300,50600,67100
Cossatot Community College of the University of Arkansas,AR,Southeast,Public,3210.0,4080.0,10186.0,Precision Production,28000,5300,13400,23100,35700,50900
Crowley's Ridge Technical Institute,AR,Southeast,Public,1350.0,1350.0,9540.0,Health,23800,3700,10600,19300,33200,42600
East Arkansas Community College,AR,Southeast,Public,2850.0,3660.0,10806.0,Humanities,26800,4400,13600,22700,35600,50600
National Park College,AR,Southeast,Public,3450.0,4950.0,13301.0,Humanities,28100,4400,12900,25100,39400,53200
University of Arkansas Community College-Batesville,AR,Southeast,Public,2466.0,4218.0,10928.0,Health,30300,4600,13500,25500,41000,55800
Harding University,AR,Southeast,Private,19385.0,19385.0,28754.0,Business Marketing,47000,9000,24900,40900,58600,77800
Henderson State University,AR,Southeast,Public,8530.0,10180.0,20913.0,Education,40400,10100,23200,35700,50500,67300
Hendrix College,AR,Southeast,Private,44070.0,44070.0,58040.0,Social science,44500,11900,24900,39700,55400,75800
John Brown University,AR,Southeast,Private,26144.0,26144.0,37814.0,Business Marketing,55400,11800,28300,45800,71900,106800
Arkansas State University Mid-South,AR,Southeast,Public,2674.0,4114.0,14830.0,Health,26700,5900,13000,22500,37100,43100
Arkansas Northeastern College,AR,Southeast,Public,2290.0,3970.0,11124.0,Health,30800,4600,14200,25700,40900,55000
North Arkansas College,AR,Southeast,Public,2208.0,4560.0,9853.0,Humanities,28900,4400,13900,25600,39300,53400
Northwest Technical Institute,AR,Southeast,Public,2321.0,2321.0,7851.0,Mechanic,32500,6800,16100,29800,44500,53800
Ouachita Baptist University,AR,Southeast,Private,25870.0,25870.0,35685.0,Business Marketing,46000,8500,25700,41200,57200,77700
College of the Ouachitas,AR,Southeast,Public,3680.0,6530.0,11662.0,Health,31000,4600,15600,27500,41100,50400
Ozarka College,AR,Southeast,Public,2932.0,5284.0,10866.0,Health,28100,3600,13000,23800,37000,54000
University of the Ozarks,AR,Southeast,Private,23750.0,23750.0,35426.0,Business Marketing,38600,3600,20000,33900,49100,62900
University of Arkansas Community College-Morrilton,AR,Southeast,Public,3092.0,4004.0,9563.0,Humanities,31600,5300,15600,27500,41300,55500
Philander Smith College,AR,Southeast,Private,12714.0,12714.0,25499.0,Business Marketing,27300,6200,13600,24400,36800,57200
Phillips Community College of the University of Arkansas,AR,Southeast,Public,2810.0,4610.0,10419.0,Precision Production,26200,4500,12900,22400,36300,46800
Southeast Arkansas College,AR,Southeast,Public,3460.0,6280.0,12380.0,Humanities,29700,5400,14400,26700,40700,57000
University of Arkansas-Pulaski Technical College,AR,Southeast,Public,5170.0,6340.0,14794.0,Humanities,30700,6200,14300,27700,42400,57000
University of Arkansas Community College-Hope,AR,Southeast,Public,2740.0,5260.0,11775.0,Health,28600,3700,13300,24400,38800,54400
University of Arkansas Community College Rich Mountain,AR,Southeast,Public,2688.0,5640.0,10599.0,Health,24100,3900,9600,20800,34200,46300
Williams Baptist University,AR,Southeast,Private,17320.0,17320.0,28274.0,Humanities,36400,8400,21300,33100,45400,61900
South Arkansas Community College,AR,Southeast,Public,2628.0,4764.0,11306.0,Health,32700,5700,14700,29000,45100,57500
Southern Arkansas University Main Campus,AR,Southeast,Public,8346.0,12156.0,21252.0,Humanities,39000,9800,21100,35700,49800,70600
Southern Arkansas University Tech,AR,Southeast,Public,4810.0,6250.0,17339.0,Security law,31200,4600,13600,26700,41700,53300
University of Arkansas-Fort Smith,AR,Southeast,Public,5577.0,12650.0,16554.0,Business Marketing,35000,6000,17500,31000,46400,62300
Academy of Art University,CA,Far West,Private,21252.0,21252.0,38666.0,Visual Performing,47300,5900,19100,38600,64000,90600
College of Alameda,CA,Far West,Public,1230.0,7110.0,15308.0,Humanities,40500,6400,16800,34200,53200,75200
Allan Hancock College,CA,Far West,Public,1352.0,6784.0,10348.0,Humanities,35500,4500,15900,30400,48300,64800
American Academy of Dramatic Arts-Los Angeles,CA,Far West,Private,34170.0,34170.0,48240.0,Visual Performing,38200,3700,11600,32700,52100,58900
American River College,CA,Far West,Public,1104.0,8208.0,12098.0,Security law,38100,4500,14800,32000,50800,69300
Antelope Valley College,CA,Far West,Public,1124.0,6500.0,9926.0,Humanities,34500,4500,13400,27100,46900,68300
Art Center College of Design,CA,Far West,Private,42008.0,42008.0,62312.0,Visual Performing,62300,7600,21600,53600,89900,114700
Azusa Pacific University,CA,Far West,Private,37506.0,37506.0,49911.0,Health,55900,10100,29000,51100,74300,92800
Bakersfield College,CA,Far West,Public,1325.0,7261.0,12027.0,Health,36000,4900,15300,29800,48300,73000
Barstow Community College,CA,Far West,Public,1104.0,6720.0,14307.0,Social science,35000,4200,15000,29900,51200,70700
Biola University,CA,Far West,Private,38448.0,38448.0,51154.0,Business Marketing,50700,6000,24600,44500,68300,84500
Butte College,CA,Far West,Public,1368.0,6984.0,11717.0,Social science,37600,4400,16500,31300,50500,74200
Cabrillo College,CA,Far West,Public,1268.0,7028.0,14270.0,Humanities,40600,6100,17500,33300,53400,81800
California Baptist University,CA,Far West,Private,32256.0,32256.0,43158.0,Health,47500,8700,21700,42600,63600,76500
California College of the Arts,CA,Far West,Private,47266.0,47266.0,61515.0,Visual Performing,48000,3300,19000,37200,60900,100300
California Institute of Technology,CA,Far West,Private,49908.0,49908.0,66774.0,Engineering,106300,19900,47300,85900,142400,189000
California Lutheran University,CA,Far West,Private,41363.0,41363.0,55546.0,Business Marketing,60200,13200,35600,54200,79400,96300
California Polytechnic State University-San Luis Obispo,CA,Far West,Public,9432.0,21312.0,25960.0,Engineering,74300,15700,43000,66900,94600,112300
Alliant International University-San Diego,CA,Far West,Private,14310.0,14310.0,33375.0,Education,65200,12000,36300,59500,90500,103900
California State University-Bakersfield,CA,Far West,Public,7147.0,19027.0,16832.0,Business Marketing,50100,11500,28000,47800,67200,81900
California State University-Stanislaus,CA,Far West,Public,7038.0,18918.0,15732.0,Business Marketing,48500,9000,27500,45400,62500,75100
California State University-San Bernardino,CA,Far West,Public,6885.0,18765.0,18202.0,Business Marketing,48800,10000,25900,44500,65400,81000
California State Polytechnic University-Pomona,CA,Far West,Public,7339.0,19219.0,21137.0,Business Marketing,58000,12700,33800,54000,79100,96700
California State University-Chico,CA,Far West,Public,7348.0,19228.0,22917.0,Business Marketing,55400,11100,29400,48100,72600,91400
California State University-Dominguez Hills,CA,Far West,Public,6837.0,18717.0,14463.0,Business Marketing,48500,9700,27100,44700,65500,80600
California State University-Fresno,CA,Far West,Public,6585.0,18465.0,16205.0,Business Marketing,48500,10000,27000,44700,64200,83800
California State University-Fullerton,CA,Far West,Public,6850.0,18730.0,17529.0,Business Marketing,51800,10800,29000,47200,67800,88000
California State University-East Bay,CA,Far West,Public,6834.0,18714.0,21267.0,Business Marketing,58200,10800,32200,51700,74300,97900
California State University-Long Beach,CA,Far West,Public,6730.0,18610.0,18104.0,Business Marketing,53000,11400,29100,48100,70200,88000
California State University-Los Angeles,CA,Far West,Public,6639.0,18519.0,13612.0,Business Marketing,49900,11700,27800,46100,66100,81700
California State University-Northridge,CA,Far West,Public,6875.0,18755.0,15960.0,Business Marketing,49700,9800,27000,45400,65900,84800
California State University-Sacramento,CA,Far West,Public,7204.0,19084.0,18989.0,Business Marketing,54200,11900,31000,48900,69500,90700
University of California-Berkeley,CA,Far West,Public,14170.0,42184.0,36172.0,Social science,79000,16200,41000,64700,99700,149700
University of California-Davis,CA,Far West,Public,14419.0,42433.0,34435.0,Biological,68100,16900,38800,58200,85800,117500
University of California-Irvine,CA,Far West,Public,13738.0,41752.0,31976.0,Social science,65800,15600,35400,58400,84800,108500
University of California-Los Angeles,CA,Far West,Public,13261.0,41275.0,33751.0,Social science,73200,13900,38800,60700,92000,128000
University of California-Riverside,CA,Far West,Public,13917.0,41931.0,32308.0,Social science,55300,12600,31800,49700,70500,92800
University of California-San Diego,CA,Far West,Public,14018.0,42032.0,31794.0,Biological,69600,17800,38800,59900,88500,122700
University of California-Santa Barbara,CA,Far West,Public,14451.0,42465.0,34990.0,Social science,62400,13500,34000,55300,79800,104800
University of California-Santa Cruz,CA,Far West,Public,14020.0,42034.0,35315.0,Biological,53800,10900,27700,46900,68100,90100
California Institute of the Arts,CA,Far West,Private,47446.0,47446.0,66475.0,Visual Performing,50600,5400,15100,37900,65400,96900
California State University Maritime Academy,CA,Far West,Public,7056.0,18936.0,22301.0,Transportation,87800,18800,47200,82900,117400,141200
Canada College,CA,Far West,Public,1360.0,7968.0,8911.0,Humanities,37900,3800,16400,31500,51300,72800
College of the Canyons,CA,Far West,Public,1154.0,6458.0,11293.0,Humanities,45800,5400,22600,39400,62400,79400
Cerritos College,CA,Far West,Public,1346.0,8710.0,14874.0,Business Marketing,36600,6900,17600,31900,48100,67000
Cerro Coso Community College,CA,Far West,Public,1290.0,7226.0,14137.0,Humanities,34600,3500,13500,28000,48300,69800
Chabot College,CA,Far West,Public,1138.0,7018.0,11777.0,Humanities,41300,6100,17300,34600,56000,77300
Chaffey College,CA,Far West,Public,1170.0,7050.0,15463.0,Humanities,36700,5900,16600,31500,48500,64300
Chapman University,CA,Far West,Private,50594.0,50594.0,66430.0,Business Marketing,56600,10700,31600,54500,74300,90100
Concordia University-Irvine,CA,Far West,Private,34100.0,34100.0,46935.0,Health,50800,8600,26600,46400,67400,84300
San Diego Christian College,CA,Far West,Private,30438.0,30438.0,43515.0,Business Marketing,42500,3600,20800,36700,51900,75800
Citrus College,CA,Far West,Public,1183.0,5959.0,9307.0,Humanities,36100,5300,15800,30900,48400,65100
City College of San Francisco,CA,Far West,Public,1598.0,9010.0,10324.0,Health,41800,6900,17200,35100,55400,90000
Claremont McKenna College,CA,Far West,Private,52825.0,52825.0,69385.0,Social science,93200,18200,41300,72900,115000,164000
Coastline Community College,CA,Far West,Public,1148.0,6548.0,15144.0,Business Marketing,43100,4500,19000,35100,56700,71400
Coleman University,CA,Far West,Private,20725.0,20725.0,34460.0,Computer,52400,8800,22700,46600,73600,93400
Columbia College,CA,Far West,Public,1162.0,6778.0,11775.0,Humanities,33600,2700,14900,27300,44500,66500
Compton College,CA,Far West,Public,1142.0,5846.0,14926.0,Humanities,36900,5900,16600,31800,48900,71000
Contra Costa College,CA,Far West,Public,1312.0,8424.0,12881.0,Mutlidiscipline,38900,3700,16800,33200,52500,72600
Cosumnes River College,CA,Far West,Public,1104.0,8208.0,10738.0,Business Marketing,34900,4800,14200,29700,46600,66000
Crafton Hills College,CA,Far West,Public,1143.0,7527.0,19525.0,Health,39000,5500,17200,33000,54800,71300
Cuesta College,CA,Far West,Public,1338.0,6824.0,14167.0,Humanities,42100,5500,17100,35600,58000,79000
Cuyamaca College,CA,Far West,Public,1386.0,7196.0,10286.0,Humanities,33300,4900,13500,29000,45600,63200
Cypress College,CA,Far West,Public,1142.0,6154.0,10307.0,Humanities,41100,6000,18400,35600,55000,74800
De Anza College,CA,Far West,Public,1552.0,8752.0,11249.0,Business Marketing,50200,8400,21400,41700,66600,98700
College of the Desert,CA,Far West,Public,1335.0,7663.0,15024.0,Humanities,36700,6200,17300,30600,48100,65400
Design Institute of San Diego,CA,Far West,Private,22510.0,22510.0,31825.0,Visual Performing,42300,2800,22700,36800,55100,66700
Diablo Valley College,CA,Far West,Public,1312.0,8424.0,12292.0,Humanities,47800,5700,18800,37600,63000,87800
Dominican University of California,CA,Far West,Private,44690.0,44690.0,61248.0,Health,63600,9700,30000,55600,85500,124200
East Los Angeles College,CA,Far West,Public,1220.0,7016.0,15093.0,Security law,36100,8000,17200,31300,47400,69100
El Camino Community College District,CA,Far West,Public,1142.0,5846.0,15936.0,Humanities,36900,5900,16600,31800,48900,71000
Evergreen Valley College,CA,Far West,Public,1356.0,7852.0,17876.0,Business Marketing,44100,5500,19500,36600,57700,76200
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,Far West,Private,32293.0,32293.0,48738.0,Business Marketing,42400,5300,19200,37200,57400,79100
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,Far West,Private,32293.0,32293.0,46244.0,Visual Performing,42400,5300,19200,37200,57400,79100
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,Far West,Private,32293.0,32293.0,42591.0,Business Marketing,42400,5300,19200,37200,57400,79100
Feather River Community College District,CA,Far West,Public,1461.0,8511.0,16299.0,Humanities,34600,4400,14700,29100,49600,58900
Foothill College,CA,Far West,Public,1554.0,8752.0,11726.0,Health,58300,7300,23500,46500,79400,117600
Fresno City College,CA,Far West,Public,1304.0,6944.0,9506.0,Health,33200,4800,14600,28000,44100,62400
Fresno Pacific University,CA,Far West,Private,30458.0,30458.0,38420.0,Business Marketing,45600,7600,24400,43900,60100,73300
Fullerton College,CA,Far West,Public,1138.0,6010.0,11056.0,Humanities,38500,5300,18000,33400,51500,72600
Gavilan College,CA,Far West,Public,1166.0,6374.0,11176.0,Humanities,37000,4600,15600,30400,50100,67200
Glendale Community College,CA,Far West,Public,1175.0,6335.0,9888.0,Business Marketing,41100,5800,15000,33200,53800,71200
Golden West College,CA,Far West,Public,1178.0,6578.0,10951.0,Humanities,40100,5200,15300,33300,53500,79600
Grossmont College,CA,Far West,Public,1386.0,7196.0,9956.0,Humanities,39400,5500,17500,34000,52200,77500
Hartnell College,CA,Far West,Public,1420.0,7670.0,16171.0,Humanities,38000,5700,18300,32100,51100,67000
Harvey Mudd College,CA,Far West,Private,54636.0,54636.0,71917.0,Engineering,104200,24500,51600,88800,117900,146900
Holy Names University,CA,Far West,Private,38188.0,38188.0,53298.0,Business Marketing,57600,10600,31600,50800,71600,107800
Humboldt State University,CA,Far West,Public,7493.0,19373.0,23661.0,Natural Resources,40100,7100,19000,36600,54100,73900
Humphreys University-Stockton and Modesto Campuses,CA,Far West,Private,14004.0,14004.0,25489.0,Business Marketing,33200,4600,14700,28800,44800,62500
Imperial Valley College,CA,Far West,Public,1142.0,5774.0,10585.0,Humanities,31000,4200,12500,25400,41100,65500
Irvine Valley College,CA,Far West,Public,1142.0,7958.0,10988.0,Humanities,43800,6000,17200,36900,59200,85500
Reedley College,CA,Far West,Public,1304.0,6944.0,9546.0,Business Marketing,31000,4900,13700,26300,41500,57500
Life Pacific College,CA,Far West,Private,14884.0,14884.0,26502.0,Theology,34400,5200,18800,32700,45100,72800
Argosy University-The Art Institute of California-San Diego,CA,Far West,Private,18742.0,18742.0,30447.0,Personal Culinary,45700,8900,24400,41400,60300,75000
University of La Verne,CA,Far West,Private,41450.0,41450.0,52724.0,Business Marketing,52700,13200,30400,49200,69000,96200
Lake Tahoe Community College,CA,Far West,Public,1224.0,7269.0,12088.0,Humanities,31400,5500,11500,25900,43600,69200
Laney College,CA,Far West,Public,1230.0,7110.0,12953.0,Business Marketing,34400,5100,13300,27700,45800,68900
Lassen Community College,CA,Far West,Public,1127.0,5951.0,15788.0,Humanities,35400,2800,15400,31300,47100,59700
La Sierra University,CA,Far West,Private,32130.0,32130.0,43320.0,Health,54600,6600,27100,49500,73500,87100
Long Beach City College,CA,Far West,Public,1188.0,7500.0,11049.0,Business Marketing,33800,4700,14700,28900,46200,64600
Los Angeles Harbor College,CA,Far West,Public,1220.0,7538.0,15062.0,Humanities,38900,5000,15800,32100,52500,73100
Los Angeles Pierce College,CA,Far West,Public,1220.0,7770.0,14914.0,Humanities,41700,5300,17600,34900,55300,80200
Los Angeles Southwest College,CA,Far West,Public,1220.0,7538.0,12416.0,Humanities,30000,5200,12600,24800,40200,61700
Los Angeles Trade Technical College,CA,Far West,Public,1220.0,7538.0,12817.0,Mechanic,34200,5500,14500,28800,45000,65300
Los Angeles Valley College,CA,Far West,Public,1220.0,7538.0,15289.0,Humanities,37900,5400,15300,31900,52400,74500
The Master's University and Seminary,CA,Far West,Private,33020.0,33020.0,45043.0,Theology,52100,6600,22400,41700,70200,90600
Los Angeles City College,CA,Far West,Public,1220.0,7538.0,12383.0,Humanities,33100,4200,11900,26700,46000,65300
Los Angeles Mission College,CA,Far West,Public,1220.0,7538.0,13876.0,Humanities,37000,6600,17800,32600,48800,61700
Los Medanos College,CA,Far West,Public,1312.0,8424.0,11427.0,Humanities,44000,4000,18300,34900,59300,79900
Argosy University-The Art Institute of California-San Francisco,CA,Far West,Private,18742.0,18742.0,26961.0,Visual Performing,45700,8900,24400,41400,60300,75000
Loyola Marymount University,CA,Far West,Private,46386.0,46386.0,62119.0,Business Marketing,71600,17300,37700,61300,90000,113000
College of Marin,CA,Far West,Public,1490.0,9320.0,17803.0,Health,42800,4600,15600,33700,55700,86000
Marymount California University,CA,Far West,Private,35884.0,35884.0,50098.0,Humanities,42000,5300,19900,35900,53600,67900
Mendocino College,CA,Far West,Public,1423.0,7063.0,15151.0,Business Marketing,31800,2400,12600,26300,43700,58500
Menlo College,CA,Far West,Private,41350.0,41350.0,57159.0,Business Marketing,59700,11000,32300,50900,74100,115800
