major,major_category,10p_starting,25p_starting,median_starting,75p_staring,90p_starting,10p_mid,25p_mid,median_mid,75p_mid,90p_mid
General agriculture,Agriculture & Natural Resources,5990.000000000002,11500.0,18000.0,32750.0,51500.0,0.0,27500.0,50000.0,65500.0,83000.0
General business,Business,0.0,6050.0,28000.0,45000.0,60000.0,0.0,26000.0,50000.0,81500.0,125000.0
General education,Education,0.0,9000.0,29000.0,37000.0,48000.0,0.0,15000.0,38000.0,50000.0,80000.0
General engineering,Engineering,0.0,2275.0,17400.0,58750.0,73500.0,3000.0,40000.0,75000.0,102000.0,125000.0
General medical and health services,Health,0.0,3000.0,12000.0,29000.0,44400.000000000015,255.0,24000.0,45000.0,63750.0,90000.0
General social sciences,Social Science,1040.0000000000002,7000.0,22000.0,36000.0,50600.0,0.0,3200.0,35000.0,70000.0,92800.00000000006
Genetics,Biology & Life Science,0.0,2500.0,12200.0,26850.0,55500.0,24600.0,43500.0,74500.0,96500.0,99200.0
Geography,Social Science,0.0,15000.0,23500.0,32000.0,39400.0,6500.000000000004,30250.0,53000.0,70000.0,90000.0
Geological and geophysical engineering,Engineering,96000.0,96000.0,96000.0,96000.0,96000.0,36200.0,41000.0,49000.0,57000.0,61800.0
Geology and earth science,Physical Sciences,1020.0000000000001,8500.0,19000.0,30750.0,51600.00000000005,15620.0,32000.0,44300.0,76500.0,108000.00000000004
Geosciences,Physical Sciences,28800.0,30000.0,50000.0,77000.0,78800.0,81600.0,84000.0,88000.0,92000.0,94400.0
Health and medical administrative services,Health,4500.000000000001,11800.0,24000.0,38000.0,51999.99999999999,10300.0,22100.0,47650.0,60000.0,88200.00000000001
Health and medical preparatory programs,Health,0.0,0.0,10000.0,30000.75,42400.00000000001,0.0,0.0,0.0,0.0,0.0
History,Humanities & Liberal Arts,124.00000000000034,5000.0,18150.0,34000.0,50600.00000000002,0.0,15000.0,40000.0,60000.0,102992.00000000006
Hospitality management,Business,0.0,11800.0,26000.0,40000.0,50000.0,0.0,8500.0,42300.0,57500.0,85500.00000000004
Human resources and personnel management,Business,1199.9999999999993,13500.0,31300.0,38500.0,47050.00000000001,0.0,21500.0,50000.0,71000.0,105000.00000000015
Human services and community organization,Psychology & Social Work,960.0,5500.0,15000.0,32500.0,40800.0,0.0,12500.0,37500.0,59250.0,73400.0
Humanities,Humanities & Liberal Arts,1135.0,5250.0,11250.0,25500.0,35000.0,0.0,7375.0,26000.0,52250.0,66300.00000000001
Industrial and manufacturing engineering,Engineering,0.0,13500.0,50000.0,55000.0,65000.0,0.0,25000.0,61000.0,90750.0,120000.0
Industrial and organizational psychology,Psychology & Social Work,280.0,2350.0,11500.0,33625.0,35500.0,7050.000000000001,17625.0,28750.0,59150.0,104420.00000000003
Industrial production technologies,Engineering,9100.0,18250.0,42600.0,56000.0,63799.99999999999,36800.0,45750.0,57400.0,72500.0,112500.0
Information sciences,Computers & Mathematics,10700.0,18750.0,37500.0,52750.0,60900.0,18470.000000000004,43000.0,57000.0,83000.0,93500.0
Intercultural and international studies,Humanities & Liberal Arts,0.0,2175.0,12000.0,30000.0,48500.000000000015,0.0,15275.0,55000.0,70500.0,82000.00000000003
Interdisciplinary social sciences,Social Science,600.0,3275.0,11000.0,28500.0,38900.0,0.0,12850.0,30000.0,56000.0,73500.0
International business,Business,0.0,5200.0,18500.0,47350.0,59000.000000000015,0.0,17100.0,63000.0,93000.0,150000.0
International relations,Social Science,50.00000000000027,3800.0,20900.0,37425.0,50000.0,0.0,750.0,38000.0,71500.0,134000.00000000003
Journalism,Communications & Journalism,1500.0,10000.0,28000.0,40000.0,59200.0,0.0,20000.0,43000.0,76000.0,115600.0
Language and drama education,Education,400.0,7600.0,17500.0,35150.0,37000.0,0.0,9450.0,32900.0,40000.0,45000.0
Liberal arts,Humanities & Liberal Arts,0.0,5500.0,13900.0,30000.0,40980.0,0.0,15000.0,40000.0,60000.0,85000.0
Library science,Education,45000.0,45000.0,45000.0,45000.0,45000.0,8800.0,22000.0,44000.0,47000.0,48800.0
Linguistics and comparative language and literature,Humanities & Liberal Arts,0.0,5050.0,13000.0,30000.0,36000.0,0.0,6675.0,27450.0,51775.0,71000.0
Management information systems and statistics,Business,0.0,15000.0,37500.0,52000.0,63200.00000000001,1680.0000000000011,44525.0,72000.0,90000.0,116900.00000000001
Marketing and marketing research,Business,15.0,12000.0,30000.0,45000.0,63500.0,0.0,20000.0,54000.0,92000.0,135999.99999999994
Mass media,Communications & Journalism,580.0000000000001,6500.0,20500.0,35000.0,50000.0,2000.0,18500.0,48000.0,72400.0,125000.0
Materials engineering and materials science,Engineering,1600.0,4000.0,33000.0,64000.0,71800.0,23200.0,65000.0,73000.0,100000.0,130000.0
Materials science,Engineering,24800.0,30450.0,47500.0,67000.0,71600.0,90800.0,92000.0,94000.0,103000.0,108400.0
Mathematics,Computers & Mathematics,570.0000000000001,7425.0,16000.0,39925.0,60000.0,3000.0,23475.0,58000.0,85000.0,118500.0
Mathematics and computer science,Computers & Mathematics,0.0,0.0,0.0,0.0,0.0,4800.0,12000.0,60000.0,96000.0,116400.0
Mathematics teacher education,Education,3490.0,11000.0,32250.0,36000.0,42300.00000000001,22380.0,40000.0,45500.0,53750.0,65950.0
Mechanical engineering,Engineering,948.0000000000002,14000.0,48000.0,65000.0,76000.0,30000.0,55000.0,92000.0,114000.0,135600.0
Mechanical engineering related technologies,Engineering,4660.0,11650.0,23300.0,34950.0,41940.0,9640.0,20650.0,39000.0,64500.0,79800.0
